[ 2021-03-14 15:16:40,475 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:17:48,947 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:17:49,281 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 15:17:49,287 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:17:49,305 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:17:49,372 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:17:49,384 ] Disconnected from gameserver
[ 2021-03-14 15:17:50,262 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:18:16,896 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:18:17,340 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 15:18:17,355 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:18:17,373 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:18:17,577 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:18:17,587 ] Disconnected from gameserver
[ 2021-03-14 15:18:18,311 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:18:50,558 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:18:51,789 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 15:18:51,803 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:18:51,814 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:18:51,889 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:18:51,920 ] Disconnected from gameserver
[ 2021-03-14 15:18:52,761 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:19:13,754 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:19:14,210 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 15:19:14,216 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:19:14,227 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
